allow_alter_system,on,,default,
allow_in_place_tablespaces,off,,default,
allow_system_table_mods,off,,default,
application_name,psql,,client,
archive_cleanup_command,"",,default,
archive_command,pgbackrest --stanza=proximal archive-push %p,,configuration file,/var/lib/postgresql/17/main/postgresql.auto.conf
archive_library,"",,default,
archive_mode,on,,configuration file,/var/lib/postgresql/17/main/postgresql.auto.conf
archive_timeout,0,s,default,
array_nulls,on,,default,
authentication_timeout,60,s,default,
auto_explain.log_analyze,off,,configuration file,/var/lib/postgresql/17/main/postgresql.auto.conf
auto_explain.log_buffers,off,,default,
auto_explain.log_format,text,,default,
auto_explain.log_level,log,,default,
auto_explain.log_min_duration,500,ms,configuration file,/var/lib/postgresql/17/main/postgresql.auto.conf
auto_explain.log_nested_statements,on,,configuration file,/var/lib/postgresql/17/main/postgresql.auto.conf
auto_explain.log_parameter_max_length,-1,B,default,
auto_explain.log_settings,off,,default,
auto_explain.log_timing,on,,default,
auto_explain.log_triggers,off,,default,
auto_explain.log_verbose,off,,default,
auto_explain.log_wal,off,,default,
auto_explain.sample_rate,1,,default,
autovacuum,on,,default,
autovacuum_analyze_scale_factor,0.1,,default,
autovacuum_analyze_threshold,50,,default,
autovacuum_freeze_max_age,200000000,,default,
autovacuum_max_workers,3,,default,
autovacuum_multixact_freeze_max_age,400000000,,default,
autovacuum_naptime,60,s,default,
autovacuum_vacuum_cost_delay,2,ms,default,
autovacuum_vacuum_cost_limit,-1,,default,
autovacuum_vacuum_insert_scale_factor,0.2,,default,
autovacuum_vacuum_insert_threshold,1000,,default,
autovacuum_vacuum_scale_factor,0.2,,default,
autovacuum_vacuum_threshold,50,,default,
autovacuum_work_mem,-1,kB,default,
backend_flush_after,0,8kB,default,
backslash_quote,safe_encoding,,default,
backtrace_functions,"",,default,
bgwriter_delay,200,ms,default,
bgwriter_flush_after,64,8kB,default,
bgwriter_lru_maxpages,100,,default,
bgwriter_lru_multiplier,2,,default,
block_size,8192,,default,
bonjour,off,,default,
bonjour_name,"",,default,
bytea_output,hex,,default,
check_function_bodies,on,,default,
checkpoint_completion_target,0.9,,default,
checkpoint_flush_after,32,8kB,default,
checkpoint_timeout,300,s,default,
checkpoint_warning,30,s,default,
client_connection_check_interval,0,ms,default,
client_encoding,UTF8,,default,
client_min_messages,notice,,default,
cluster_name,17/main,,configuration file,/etc/postgresql/17/main/postgresql.conf
commit_delay,0,,default,
commit_siblings,5,,default,
commit_timestamp_buffers,1024,8kB,default,
compute_query_id,auto,,default,
config_file,/etc/postgresql/17/main/postgresql.conf,,override,
constraint_exclusion,partition,,default,
cpu_index_tuple_cost,0.005,,default,
cpu_operator_cost,0.0025,,default,
cpu_tuple_cost,0.01,,default,
createrole_self_grant,"",,default,
cursor_tuple_fraction,0.1,,default,
data_checksums,off,,default,
data_directory,/var/lib/postgresql/17/main,,override,
data_directory_mode,0700,,default,
data_sync_retry,off,,default,
DateStyle,"ISO, MDY",,configuration file,/etc/postgresql/17/main/postgresql.conf
deadlock_timeout,1000,ms,default,
debug_assertions,off,,default,
debug_discard_caches,0,,default,
debug_io_direct,"",,default,
debug_logical_replication_streaming,buffered,,default,
debug_parallel_query,off,,default,
debug_pretty_print,on,,default,
debug_print_parse,off,,default,
debug_print_plan,off,,default,
debug_print_rewritten,off,,default,
default_statistics_target,100,,default,
default_table_access_method,heap,,default,
default_tablespace,"",,default,
default_text_search_config,pg_catalog.english,,configuration file,/etc/postgresql/17/main/postgresql.conf
default_toast_compression,pglz,,default,
default_transaction_deferrable,off,,default,
default_transaction_isolation,read committed,,default,
default_transaction_read_only,off,,default,
dynamic_library_path,$libdir,,default,
dynamic_shared_memory_type,posix,,configuration file,/etc/postgresql/17/main/postgresql.conf
effective_cache_size,12582912,8kB,configuration file,/etc/postgresql/17/main/postgresql.conf
effective_io_concurrency,1,,default,
enable_async_append,on,,default,
enable_bitmapscan,on,,default,
